round,i,j,b_0,b_1
28,2,4,0.5,0.5
28,2,5,0.5,0.5
28,3,0,0.5,0.5
28,3,1,0.5,0.5
28,3,2,0.5,0.5
28,3,4,0.5,0.5
28,3,5,0.5,0.5
28,4,0,0.5,0.5
28,4,1,0.5,0.5
28,4,2,0.5,0.5
28,4,3,0.5,0.5
28,4,5,0.5,0.5
28,5,0,0.5,0.5
28,5,1,0.5,0.5
28,5,2,0.5,0.5
28,5,3,0.5,0.5
28,5,4,0.5,0.5
29,0,1,0.5,0.5
29,0,2,0.5,0.5
29,0,3,0.5,0.5
29,0,4,0.5,0.5
29,0,5,0.5,0.5
29,1,0,0.5,0.5
29,1,2,0.5,0.5
29,1,3,0.5,0.5
29,1,4,0.5,0.5
29,1,5,0.5,0.5
29,2,0,0.5,0.5
29,2,1,0.5,0.5
29,2,3,0.5,0.5
29,2,4,0.5,0.5
29,2,5,0.5,0.5
29,3,0,0.5,0.5
29,3,1,0.5,0.5
29,3,2,0.5,0.5
29,3,4,0.5,0.5
29,3,5,0.5,0.5
29,4,0,0.5,0.5
29,4,1,0.5,0.5
29,4,2,0.5,0.5
29,4,3,0.5,0.5
29,4,5,0.5,0.5
29,5,0,0.5,0.5
29,5,1,0.5,0.5
29,5,2,0.5,0.5
29,5,3,0.5,0.5
29,5,4,0.5,0.5
30,0,1,0.5,0.5
30,0,2,0.5,0.5
30,0,3,0.5,0.5
30,0,4,0.5,0.5
30,0,5,0.5,0.5
30,1,0,0.5,0.5
30,1,2,0.5,0.5
30,1,3,0.5,0.5
30,1,4,0.5,0.5
30,1,5,0.5,0.5
30,2,0,0.5,0.5
30,2,1,0.5,0.5
30,2,3,0.5,0.5
30,2,4,0.5,0.5
30,2,5,0.5,0.5
30,3,0,0.5,0.5
30,3,1,0.5,0.5
30,3,2,0.5,0.5
30,3,4,0.5,0.5
30,3,5,0.5,0.5
30,4,0,0.5,0.5
30,4,1,0.5,0.5
30,4,2,0.5,0.5
30,4,3,0.5,0.5
30,4,5,0.5,0.5
30,5,0,0.5,0.5
30,5,1,0.5,0.5
30,5,2,0.5,0.5
30,5,3,0.5,0.5
30,5,4,0.5,0.5
31,0,1,0.5,0.5
31,0,2,0.5,0.5
31,0,3,0.5,0.5
31,0,4,0.5,0.5
31,0,5,0.5,0.5
31,1,0,0.5,0.5
31,1,2,0.5,0.5
31,1,3,0.5,0.5
31,1,4,0.5,0.5
31,1,5,0.5,0.5
31,2,0,0.5,0.5
31,2,1,0.5,0.5
31,2,3,0.5,0.5
31,2,4,0.5,0.5
31,2,5,0.5,0.5
31,3,0,0.5,0.5
31,3,1,0.5,0.5
31,3,2,0.5,0.5
31,3,4,0.5,0.5
31,3,5,0.5,0.5
31,4,0,0.5,0.5
31,4,1,0.5,0.5
31,4,2,0.5,0.5
31,4,3,0.5,0.5
31,4,5,0.5,0.5
31,5,0,0.5,0.5
31,5,1,0.5,0.5
31,5,2,0.5,0.5
31,5,3,0.5,0.5
31,5,4,0.5,0.5
32,0,1,0.5,0.5
32,0,2,0.5,0.5
32,0,3,0.5,0.5
32,0,4,0.5,0.5
32,0,5,0.5,0.5
32,1,0,0.5,0.5
32,1,2,0.5,0.5
32,1,3,0.5,0.5
32,1,4,0.5,0.5
32,1,5,0.5,0.5
