round,i,j,r_i,r_j
88,6,1,3.0,0.0
88,9,16,0.0,3.0
88,19,3,3.0,0.0
88,1,6,3.0,0.0
88,8,4,4.0,4.0
89,11,2,3.0,0.0
89,17,7,3.0,3.0
89,0,2,4.0,4.0
89,8,4,4.0,4.0
89,8,0,4.0,4.0
90,5,3,4.0,4.0
90,0,18,3.0,3.0
90,10,6,3.0,0.0
90,1,8,0.0,3.0
90,1,2,4.0,4.0
90,14,10,4.0,4.0
90,13,2,3.0,0.0
90,6,16,3.0,3.0
90,13,0,3.0,0.0
90,15,8,3.0,3.0
90,6,15,3.0,3.0
90,9,6,0.0,3.0
90,0,3,4.0,4.0
91,9,2,3.0,0.0
91,0,13,0.0,3.0
91,12,14,4.0,4.0
91,0,5,4.0,4.0
91,19,18,3.0,3.0
91,17,7,3.0,0.0
91,4,5,4.0,4.0
91,0,9,4.0,4.0
91,1,6,0.0,3.0
91,15,10,3.0,3.0
92,5,4,4.0,4.0
92,9,2,3.0,0.0
92,14,3,3.0,0.0
92,5,10,3.0,3.0
92,13,5,3.0,3.0
92,14,16,3.0,3.0
92,3,1,0.0,3.0
92,0,19,0.0,3.0
92,18,7,3.0,0.0
92,18,2,3.0,0.0
93,11,0,3.0,0.0
93,12,13,3.0,0.0
93,7,15,3.0,3.0
93,17,19,3.0,3.0
93,16,18,3.0,3.0
93,0,12,4.0,4.0
93,7,14,0.0,3.0
93,12,14,4.0,4.0
94,18,8,3.0,0.0
94,15,6,3.0,0.0
94,1,13,0.0,3.0
94,5,12,4.0,4.0
94,15,8,3.0,3.0
94,19,16,3.0,3.0
94,16,2,3.0,0.0
94,3,6,4.0,4.0
94,2,17,0.0,3.0
94,8,7,3.0,0.0
94,9,7,0.0,3.0
94,0,9,4.0,4.0
94,13,19,3.0,3.0
94,10,17,3.0,3.0
95,0,5,4.0,4.0
95,19,15,3.0,3.0
95,19,9,3.0,0.0
95,14,11,0.0,3.0
95,3,10,0.0,3.0
95,11,14,4.0,4.0
95,2,1,4.0,4.0
95,8,11,0.0,3.0
